region_code,weather_param,year, key, value 
UK,MaxTemp,1958,Jun,16.4
UK,MaxTemp,1958,Jul,18.4
UK,MaxTemp,1958,Aug,18.1
UK,MaxTemp,1958,Sept,17.5
UK,MaxTemp,1958,Oct,13
UK,MaxTemp,1958,Nov,8.8
UK,MaxTemp,1958,Dec,6.4
UK,MaxTemp,1950,Jan,6.3
UK,MaxTemp,1959,Feb,6.9
UK,MaxTemp,1959,Mar,9.6
UK,MaxTemp,1959,Apr,11.9
UK,MaxTemp,1959,May,16.3
UK,MaxTemp,1959,Jun,18.2
UK,MaxTemp,1959,Jul,20.1
UK,MaxTemp,1959,Aug,20.2
UK,MaxTemp,1959,Sept,18.8
UK,MaxTemp,1959,Oct,15.4
UK,MaxTemp,1959,Nov,9.2
UK,MaxTemp,1959,Dec,7.5
UK,MaxTemp,1973,Jan,6.3
UK,MaxTemp,1960,Feb,5.8
UK,MaxTemp,1960,Mar,8.1
UK,MaxTemp,1960,Apr,12.1
UK,MaxTemp,1960,May,16.2
UK,MaxTemp,1960,Jun,19.3
UK,MaxTemp,1960,Jul,17.7
UK,MaxTemp,1960,Aug,17.7
UK,MaxTemp,1960,Sept,15.7
UK,MaxTemp,1960,Oct,12.1
UK,MaxTemp,1960,Nov,9
UK,MaxTemp,1960,Dec,5.6
UK,MaxTemp,1968,Jan,6.2
UK,MaxTemp,1961,Feb,8.6
UK,MaxTemp,1961,Mar,11.2
UK,MaxTemp,1961,Apr,12
UK,MaxTemp,1961,May,14.1
UK,MaxTemp,1961,Jun,17.4
UK,MaxTemp,1961,Jul,17.5
UK,MaxTemp,1961,Aug,18
UK,MaxTemp,1961,Sept,17.4
UK,MaxTemp,1961,Oct,13
UK,MaxTemp,1961,Nov,8.1
UK,MaxTemp,1961,Dec,4.6
UK,MaxTemp,1992,Jan,6.2
UK,MaxTemp,1962,Feb,6.7
UK,MaxTemp,1962,Mar,5.6
UK,MaxTemp,1962,Apr,10.6
UK,MaxTemp,1962,May,12.9
UK,MaxTemp,1962,Jun,16.9
UK,MaxTemp,1962,Jul,17.2
UK,MaxTemp,1962,Aug,16.7
UK,MaxTemp,1962,Sept,14.8
UK,MaxTemp,1962,Oct,13.1
UK,MaxTemp,1962,Nov,7.5
UK,MaxTemp,1962,Dec,5
UK,MaxTemp,1967,Jan,6.1
UK,MaxTemp,1963,Jan,0.9
UK,MaxTemp,1963,Feb,1.9
UK,MaxTemp,1963,Dec,5
UK,MaxTemp,1963,Mar,8.4
UK,MaxTemp,1963,Nov,9.3
UK,MaxTemp,1963,Apr,10.8
UK,MaxTemp,1963,Oct,13
UK,MaxTemp,1963,May,13.3
UK,MaxTemp,1963,Sept,15.6
UK,MaxTemp,1963,Aug,16.5
UK,MaxTemp,1963,Jun,17.5
UK,MaxTemp,1911,Jan,5.9
UK,MaxTemp,1964,Feb,6.4
UK,MaxTemp,1964,Mar,6.2
UK,MaxTemp,1964,Apr,11.2
UK,MaxTemp,1964,May,15.8
UK,MaxTemp,1964,Jun,16.3
UK,MaxTemp,1964,Jul,18.4
UK,MaxTemp,1964,Aug,18.1
UK,MaxTemp,1964,Sept,17
UK,MaxTemp,1964,Oct,11.7
UK,MaxTemp,1964,Nov,9.4
UK,MaxTemp,1964,Dec,5.8
UK,MaxTemp,1913,Jan,5.9
UK,MaxTemp,1965,Feb,5.4
